Index,Raw path,Volume,Part,Section,Compile order
97,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0097.tif,Atlas Antarktiki II,,,92
98,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0098.tif,Atlas Antarktiki II,,,93
99,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0099.tif,Atlas Antarktiki II,,,94
100,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0100.tif,Atlas Antarktiki II,,,95
101,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0101.tif,Atlas Antarktiki II,,,96
102,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0102.tif,Atlas Antarktiki II,,,97
103,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0103.tif,Atlas Antarktiki II,,,98
104,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0104.tif,Atlas Antarktiki II,,,99
105,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0105.tif,Atlas Antarktiki II,,,100
106,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0106.tif,Atlas Antarktiki II,,,101
107,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0107.tif,Atlas Antarktiki II,,,102
108,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0108.tif,Atlas Antarktiki II,,,103
109,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0109.tif,Atlas Antarktiki II,,,104
110,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0110.tif,Atlas Antarktiki II,,,105
111,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0111.tif,Atlas Antarktiki II,,,106
112,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0112.tif,Atlas Antarktiki II,,,107
113,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0113.tif,Atlas Antarktiki II,,,108
114,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0114.tif,Atlas Antarktiki II,,,109
115,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0115.tif,Atlas Antarktiki II,,,110
116,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0116.tif,Atlas Antarktiki II,,,111
117,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0117.tif,Atlas Antarktiki II,,,112
118,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0118.tif,Atlas Antarktiki II,,,113
119,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0119.tif,Atlas Antarktiki II,,,114
120,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0120.tif,Atlas Antarktiki II,,,115
121,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0121.tif,Atlas Antarktiki II,,,116
122,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0122.tif,Atlas Antarktiki II,,,117
123,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0123.tif,Atlas Antarktiki II,,,118
124,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0124.tif,Atlas Antarktiki II,,,119
125,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0125.tif,Atlas Antarktiki II,,,120
126,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0126.tif,Atlas Antarktiki II,,,121
127,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0127.tif,Atlas Antarktiki II,,,122
128,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0128.tif,Atlas Antarktiki II,,,123
129,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0129.tif,Atlas Antarktiki II,,,124
130,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0130.tif,Atlas Antarktiki II,,,125
131,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0131.tif,Atlas Antarktiki II,,,126
132,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0132.tif,Atlas Antarktiki II,,,127
133,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0133.tif,Atlas Antarktiki II,,,128
134,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0134.tif,Atlas Antarktiki II,,,129
135,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0135.tif,Atlas Antarktiki II,,,130
136,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0136.tif,Atlas Antarktiki II,,,131
137,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0137.tif,Atlas Antarktiki II,,,132
138,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0138.tif,Atlas Antarktiki II,,,133
139,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0139.tif,Atlas Antarktiki II,,,134
140,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0140.tif,Atlas Antarktiki II,,,135
141,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0141.tif,Atlas Antarktiki II,,,136
142,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0142.tif,Atlas Antarktiki II,,,137
143,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0143.tif,Atlas Antarktiki II,,,138
144,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0144.tif,Atlas Antarktiki II,,,139
145,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0145.tif,Atlas Antarktiki II,,,140
146,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0146.tif,Atlas Antarktiki II,,,141
147,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0147.tif,Atlas Antarktiki II,,,142
148,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0148.tif,Atlas Antarktiki II,,,143
149,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0149.tif,Atlas Antarktiki II,,,144
150,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0150.tif,Atlas Antarktiki II,,,145
151,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0151.tif,Atlas Antarktiki II,,,146
152,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0152.tif,Atlas Antarktiki II,,,147
153,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0153.tif,Atlas Antarktiki II,,,148
154,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0154.tif,Atlas Antarktiki II,,,149
155,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0155.tif,Atlas Antarktiki II,,,150
156,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0156.tif,Atlas Antarktiki II,,,151
157,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0157.tif,Atlas Antarktiki II,,,152
158,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0158.tif,Atlas Antarktiki II,,,153
159,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0159.tif,Atlas Antarktiki II,,,154
160,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0160.tif,Atlas Antarktiki II,,,155
161,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0161.tif,Atlas Antarktiki II,,,156
162,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0162.tif,Atlas Antarktiki II,,,157
163,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0163.tif,Atlas Antarktiki II,,,158
164,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0164.tif,Atlas Antarktiki II,,,159
165,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0165.tif,Atlas Antarktiki II,,,160
166,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0166.tif,Atlas Antarktiki II,,,161
167,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0167.tif,Atlas Antarktiki II,,,162
168,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0168.tif,Atlas Antarktiki II,,,163
169,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0169.tif,Atlas Antarktiki II,,,164
170,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0170.tif,Atlas Antarktiki II,,,165
171,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0171.tif,Atlas Antarktiki II,,,166
172,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0172.tif,Atlas Antarktiki II,,,167
173,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0173.tif,Atlas Antarktiki II,,,168
174,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0174.tif,Atlas Antarktiki II,,,169
175,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0175.tif,Atlas Antarktiki II,,,170
176,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0176.tif,Atlas Antarktiki II,,,171
177,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0177.tif,Atlas Antarktiki II,,,172
178,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0178.tif,Atlas Antarktiki II,,,173
179,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0179.tif,Atlas Antarktiki II,,,174
180,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0180.tif,Atlas Antarktiki II,,,175
181,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0181.tif,Atlas Antarktiki II,,,176
182,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0182.tif,Atlas Antarktiki II,,,177
183,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0183.tif,Atlas Antarktiki II,,,178
184,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0184.tif,Atlas Antarktiki II,,,179
185,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0185.tif,Atlas Antarktiki II,,,180
186,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0186.tif,Atlas Antarktiki II,,,181
187,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0187.tif,Atlas Antarktiki II,,,182
188,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0188.tif,Atlas Antarktiki II,,,183
189,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0189.tif,Atlas Antarktiki II,,,184
190,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0190.tif,Atlas Antarktiki II,,,185
191,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0191.tif,Atlas Antarktiki II,,,186
192,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0192.tif,Atlas Antarktiki II,,,187
193,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0193.tif,Atlas Antarktiki II,,,188
194,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0194.tif,Atlas Antarktiki II,,,189
195,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0195.tif,Atlas Antarktiki II,,,190
196,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0196.tif,Atlas Antarktiki II,,,191
197,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0197.tif,Atlas Antarktiki II,,,192
198,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0198.tif,Atlas Antarktiki II,,,193
199,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0199.tif,Atlas Antarktiki II,,,194
200,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0200.tif,Atlas Antarktiki II,,,195
